fval,Prophylactic zinc supplementation,Vitamin A supplementation,Complementary feeding education,Public provision of complementary foods,Breastfeeding promotion,Balanced energy-protein supplementation,Multiple micronutrient supplementation
16748725.94,988814.0963,850730.8784,20821431.59,919493.0949,791054.3483,323010.6907,1.68E-10
16710300.15,3.12E-05,7.76E-06,24694534.7,7.93E-05,7.00E-06,6.63E-05,7.41E-05
18040664.09,24694534.7,5.40E-06,1.97E-06,2.84E-05,3.07E-06,3.44E-05,2.40E-05
17116100.49,582829.7885,159992.5883,10940304.6,9631025.463,438570.6575,529445.8641,2412365.736
18040664.27,24694506.44,10.33338976,1.552591728,7.212178194,8.260417171,0.883775366,0.02159184
17670389.47,3304201.062,4282265.355,5603501.727,1191124.651,5270618.347,1673254.995,3369568.564
16710300.16,0.028750519,0.017754973,24694533.45,0.746504715,0.356119643,0.008207661,0.091030947
16711955.09,8128.177856,26893.34493,24553056.82,7105.145961,81310.52231,12712.5642,5328.121758
16714797.74,1.08E-10,231665.4098,24191475.35,78759.69446,192634.2417,3.62E-11,3.62E-11
18196621.82,0.205494746,3.254768583,0.894559543,24694518.82,6.336494728,4.016926762,1.172749565
16710300.15,0.209043147,0.370459357,24694533.75,0.103440034,0.164405302,0.10069044,0.006337462
16710399.94,1080.898419,2404.924551,24681794.07,2374.816559,2024.892085,2196.382584,2658.718582
16710300.15,0.001143313,0.000240425,24694534.7,0.000845346,0.00018873,0.000130598,0.00013663
16710333.58,4359.653936,3250.359567,24682096.75,3112.052466,887.4208108,691.836953,136.6286788
16758617.1,38387.86689,3.71E-10,21297855.14,1319349.769,633364.0634,1405577.865,0
16710300.15,0.006358743,0.056985573,24694534.42,0.070247388,0.050158089,0.055174099,0.037371126
16710681.26,17658.11502,4597.065056,24636852,10755.04879,17634.33702,6309.075741,729.0613662
17670640.64,63671.5773,8184790.785,6198116.62,1167803.434,6998918.636,426324.3113,1654909.337
16710300.15,7.57E-07,2.93E-07,24694534.7,8.29E-07,7.42E-07,1.63E-07,1.04E-06
17456826.2,1455797.808,4163925.932,7390885.495,3409043.637,306271.9873,3285767.544,4682842.296
16710300.34,16.73073489,0.830497997,24694496.2,0.958174114,0.943694694,11.47375702,7.559621296
16710359.03,5254.109423,15818.67308,24670365.24,1730.042413,5.32E-13,1014.577258,352.0601263
16855142.71,7271415.989,784054.9227,14851217.62,0,449912.8538,1.35E-10,1337933.309
18107877.01,4656100.17,3972417.117,1357297.639,6867825.391,1452263.777,534150.3203,5854480.287
16713525.02,276325.9596,30443.89308,24014619.71,133909.5232,100880.978,50480.35728,87874.27585
16710300.15,0.001497893,0.003237187,24694534.69,0.00285337,3.16E-05,0.002857444,0.002651204
18048527.55,23501309.72,132511.2876,30342.87286,477892.6517,108240.5518,28960.48727,415277.1303
16710300.15,0.000258239,0.003760578,24694534.68,0.000896242,0.001462587,0.001321089,0.008898752
16710300.15,0.000667733,0.001144125,24694534.7,6.76E-05,0.000405247,0.001015028,0.000436393
16710300.34,0.683377993,24.90935316,24694496.21,7.997627276,4.899097343,9.28E-15,0
18040664.86,24694395.48,18.25680634,11.71864424,40.73469069,44.03701834,10.76693191,13.7028996
17757160.09,4547670.542,611863.7425,4421022.079,6505777.293,3069921.448,4598185.013,940094.5823
16710300.15,9.45E-07,4.49E-07,24694534.7,2.01E-07,2.08E-07,1.18E-07,6.78E-07
18196783.04,13011.10402,25264.00486,205.1471861,24626080.18,1539.284379,2487.2332,25947.74172
16710300.15,6.97E-08,3.00E-07,24694534.7,1.20E-06,2.10E-07,2.20E-07,3.46E-06
16710300.23,2.494187435,0.217445547,24694523.61,0.137525626,0.373592838,3.153346771,4.709972858
16710300.15,0.051477728,0.090524783,24694534.3,0.000895401,0.023192502,0.144846244,0.084500868
16710301.29,0.107766873,123.8451464,24694294.69,69.41698848,5.274975548,3.928882671,37.43484274
16710300.15,0,0.001908356,24694534.7,0.000214608,0.000369503,0.001050816,0.000766593
16710300.98,5.295610453,29.58830022,24694425.03,22.08284832,22.48192913,8.131668007,22.09338132
16710300.15,0.000171782,4.17E-05,24694534.7,9.14E-06,8.15E-05,8.07E-06,6.09E-05
16710300.16,0.188081097,0.07100541,24694533.38,0.820780796,0.021052116,0.18664222,0.032060816
16710300.15,0.040290002,0.04303673,24694534.58,0.013432219,0.003281029,0.003152202,0.012047523
16710300.32,3.818192466,2.231765084,24694512.23,4.951679549,3.682328598,5.795428337,1.987253392
16710300.15,0.00014334,0.000429849,24694534.7,0.00128182,7.53E-06,1.33E-05,0.001435237
18109938.6,10637275.42,2132113.966,627971.1622,8265155.072,852382.4276,1198036.64,981600.0113
16710304.72,0.431049374,495.3597649,24693574.71,277.6562836,21.09901536,15.71487016,149.7330774
16710302.88,28.74003826,3.296462565,24694312.13,6.43E-15,130.8213084,34.89219132,24.81675866
16716712.7,1165887.419,344242.0846,22673957.22,243838.4662,210397.8726,1.56E-10,56211.63583
16710300.16,1.645913841,0.196077977,24694531.46,0.346400251,0.650101304,3.86E-17,0.402949809
16802123.59,189494.2923,705878.9537,19423505.55,781422.6454,2172099.176,825777.8472,596356.2354
16731242.02,101703.8229,150806.6677,22954019.17,511642.6116,844871.2462,116757.4356,14733.74735
16710300.15,4.23E-06,3.53E-06,24694534.7,1.08E-06,4.05E-05,2.85E-06,5.54E-06
16710373.63,170593.6975,2.53E-11,24406221.18,106280.2425,8331.346866,0,3108.229427
16711838.94,277157.3233,113217.2236,24069307.94,137364.7301,12108.60601,47709.82307,37669.05528
16821231.47,620773.0036,166556.539,18649951.47,1177230.459,3329333.088,0,750690.1361
16710300.15,0.084044372,0.007469412,24694534.53,0.011983968,0.002383024,0.059299641,0.009048617
16710741.48,7818.882705,30454.53541,24608566.3,29214.10674,6607.637398,6402.578965,5470.655084
16710315,3110.926829,461.9980568,24688722.07,207.3264406,503.7676908,417.3876767,1111.228319
16742076.04,577548.3926,679437.3016,21857728.02,240816.2568,1191967.34,114128.6161,32908.77566
16711551.9,285906.8265,0,24135737.35,98715.32537,9146.771325,1747.815071,163280.6103
18203722.53,24444.46412,387168.4096,106411.6193,22805423.69,753752.6935,477830.3299,139503.4923
16710301.85,0.99147106,1.630694077,24694361.39,73.39856897,26.36335925,67.30196447,3.621898567
17727280.7,2277244.182,3455420.464,4905456.829,5254147.937,3017353.074,3789265.496,1995646.718
17831894.25,176030.5205,4401734.325,4770918.868,236994.7083,4867625.018,4051688.05,6189543.209
16710300.15,7.65E-06,9.01E-07,24694534.7,2.86E-06,2.82E-06,2.52E-06,1.24E-08
16710300.15,0.000100097,5.67E-05,24694534.7,9.59E-06,5.29E-05,3.97E-05,8.41E-05
16710300.19,1.59900413,0.628175468,24694528.04,1.467321632,0.992088744,0.185131587,1.78344608
16710394.73,722.2734681,583.2189893,24684780.91,2654.708944,2294.124694,3179.062917,320.4035972
16710300.15,0.002947116,0.002174811,24694534.67,0.021373974,1.07E-18,0.000443967,0.00012937
16710300.15,2.17E-07,1.41E-08,24694534.7,1.85E-07,6.34E-08,1.94E-08,1.32E-08
16790504.39,342958.6475,1908380.765,18903149.38,1797791.53,542326.9811,660979.2431,538948.1528
16712501.82,267044.7152,83929.80628,24157849.41,4130.773378,63404.83745,93364.22359,24810.93451
16710391.98,336.0860477,1590.326147,24685987.92,0,8.40E-13,5751.253074,869.1191536
16710300.15,1.01E-06,3.59E-07,24694534.7,7.90E-07,2.11E-07,1.85E-08,1.98E-07
16722956.01,88417.3763,3542.551463,23670350.74,157191.6655,274535.0134,459684.8988,40812.44994
17809355.97,5372408.258,5431148.378,4060536.255,16001.53764,488882.4234,95752.85619,9229804.992
16710300.15,2.52E-06,1.35E-07,24694534.7,2.11E-07,1.64E-06,2.99E-06,1.30E-06
16710300.15,3.82E-08,3.94E-08,24694534.7,1.78E-08,3.47E-08,2.22E-08,2.17E-08
17405498.25,3825042.895,4960046.381,7627365.633,3188758.891,2526002.807,153623.3522,2413694.74
16710314.99,227.1027806,64.56568741,24692872.26,4.73988003,30.23819596,664.6142218,671.1783903
17287650.38,2997792.706,2897187.887,9465488.104,261045.7961,5.26E-10,8162341.422,910678.7848
16710302.75,51.95524231,25.79806294,24694122.83,201.4606335,69.5226404,40.19481627,22.93508812
16710300.18,0.789317307,0.180360828,24694530.86,0.785462099,0.171980029,1.208723224,0.702388477
16710300.15,2.63E-07,1.77E-06,24694534.7,5.37E-06,2.27E-06,1.26E-22,7.01E-08
16710300.15,0.275819286,0.272461893,24694533.82,0.211901461,0.033121596,0.084043309,0
17750809.01,3179739.922,141440.4894,5093475.015,49574.99731,747321.2348,4780520.981,10702462.06
17054020.56,3845073.335,3716034.09,12140764.72,334826.43,6.75E-10,3489767.799,1168068.328
16710433.82,1463.089693,3467.339602,24674653.6,3908.727672,2371.860057,8.06E-12,8670.07874
16710300.15,1.40E-07,3.99E-08,24694534.7,2.09E-07,1.88E-08,1.72E-07,2.37E-07
18040664.09,24694534.7,2.95E-05,1.02E-05,7.21E-05,7.00E-05,1.33E-05,9.49E-06
16831664.87,1727329.154,78163.76717,17315939.42,726846.8287,811595.7309,0,4034659.795
17244930.43,8545136.148,2246249.368,8706467.854,327317.3882,366985.5791,504483.5794,3997894.784
18174206.68,9465202.151,5374059.887,601101.1068,262070.6132,123858.1369,5253164.347,3615078.458
17269936.4,1529414.65,5425236.263,9411452.717,3314767.472,666971.0966,2322134.584,2024557.917
16710303.12,76.5945845,48.04976518,24694210.15,0,154.9364207,32.76828953,12.20267303
17461102.07,742155.1542,1812330.603,7665505.325,3538590.554,1961732.055,5362652.366,3611568.643
